Prob = 0.1	 Time = 0.3
0	0:00:00.272701	0
1	0:00:00.291573	0
0	0:00:00.234242	0
0	0:00:00.235797	0
0	0:00:00.269032	0
0	0:00:00.241878	0
0	0:00:00.244459	0
1	0:00:00.335138	0
0	0:00:00.216194	0
0	0:00:00.212952	0
0	0:00:00.266988	0
0	0:00:00.234742	0
0	0:00:00.270384	0
0	0:00:00.238966	0
0	0:00:00.225068	0
0	0:00:00.226594	0
0	0:00:00.235166	0
0	0:00:00.236473	0
0	0:00:00.261474	0
0	0:00:00.272218	0
0	0:00:00.231879	0
0	0:00:00.241186	0
0	0:00:00.245624	0
0	0:00:00.237411	0
0	0:00:00.231289	0
0	0:00:00.215128	0
0	0:00:00.245776	0
0	0:00:00.250864	0
1	0:00:00.342816	0
0	0:00:00.135160	0
0	0:00:00.238710	0
1	0:00:00.360697	0
0	0:00:00.160912	0
0	0:00:00.225368	0
0	0:00:00.220919	0
0	0:00:00.258129	0
0	0:00:00.236662	0
0	0:00:00.232478	0
1	0:00:00.343843	0
0	0:00:00.189876	0
0	0:00:00.243403	0
0	0:00:00.254088	0
0	0:00:00.230793	0
0	0:00:00.232088	0
0	0:00:00.229371	0
1	0:00:00.354832	1
0	0:00:00.213622	0
0	0:00:00.240628	0
0	0:00:00.253578	0
0	0:00:00.257196	0
0	0:00:00.231768	0
0	0:00:00.234918	0
0	0:00:00.254054	0
0	0:00:00.275394	0
0	0:00:00.277870	0
0	0:00:00.241540	0
0	0:00:00.235863	0
0	0:00:00.265536	0
0	0:00:00.242813	0
0	0:00:00.242000	0
0	0:00:00.264837	0
0	0:00:00.223243	0
0	0:00:00.247182	0
0	0:00:00.221660	0
0	0:00:00.251347	0
0	0:00:00.258814	0
0	0:00:00.246076	0
0	0:00:00.222513	0
0	0:00:00.247245	0
0	0:00:00.252414	0
0	0:00:00.248680	0
0	0:00:00.268284	0
1	0:00:00.387363	0
0	0:00:00.167629	0
0	0:00:00.245559	0
0	0:00:00.246611	0
0	0:00:00.221092	0
0	0:00:00.247794	0
0	0:00:00.220654	0
0	0:00:00.222800	0
1	0:00:00.378709	1
0	0:00:00.168738	0
0	0:00:00.200669	0
0	0:00:00.187126	0
0	0:00:00.203089	0
0	0:00:00.220827	0
0	0:00:00.261785	0
0	0:00:00.201780	0
0	0:00:00.216568	0
0	0:00:00.255549	0
0	0:00:00.221425	0
0	0:00:00.229028	0
0	0:00:00.207774	0
0	0:00:00.210486	0
1	0:00:00.328622	1
1	0:00:00.456447	1
1	0:00:00.443854	1
0	0:00:00.211321	0
0	0:00:00.230772	0
0	0:00:00.253477	0
